timestamp	mode	audio	host_text	hybrid_text	token_sequence_match	text_match	silicon_logits_allclose	silicon_argmax_match	max_logits_abs	silicon_wait_s	run_dir
20260504-172043	both	/usr/share/sounds/speech-dispatcher/test.wav			True	True	True	True	1.621246337890625e-05	0.24248321	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/e2e_audit_runs/both_20260504-172043
20260504-173236	host-only	local-artifacts/erbium_amp_probe/whisper-real/audio/wikimedia_desert_16.wav									/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/e2e_audit_runs/host-only_20260504-173236
20260504-173302	host-only	local-artifacts/erbium_amp_probe/whisper-real/audio/openai_whisper_jfk_16k.wav	 And so my fellow Americans ask not what your country can do for you ask what you can do for your country								/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/e2e_audit_runs/host-only_20260504-173302
20260504-181738	both	local-artifacts/erbium_amp_probe/whisper-real/audio/openai_whisper_jfk_16k.wav	 And so my fellow Americans ask not what your country can do for you ask what you can do for your country	 And so my fellow Americans ask not what your country can do for you ask what you can do for your country	True	True	True	True	1.9073486328125e-05	1.57497894	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/e2e_audit_runs/both_20260504-181738
20260504-205712	both	local-artifacts/erbium_amp_probe/whisper-real/audio/openai_whisper_jfk_16k.wav	 And so my fellow	 And so my fellow	True	True	True	True	1.1920928955078125e-05	0.34292883	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/e2e_audit_runs/both_20260504-205712
20260504-210334	both	local-artifacts/erbium_amp_probe/whisper-real/audio/openai_whisper_jfk_16k.wav	 And so my fellow Americans ask not what your country can do for you ask what you can do for your country	 And so my fellow Americans ask not what your country can do for you ask what you can do for your country	True	True	True	True	1.9073486328125e-05	1.27618545	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/e2e_audit_runs/both_20260504-210334
20260504-211327	both	local-artifacts/erbium_amp_probe/whisper-real/audio/openai_whisper_jfk_16k.wav	 And so my fellow	 And so my fellow	True	True	True	True	1.1920928955078125e-05	0.34220070599999997	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/e2e_audit_runs/both_20260504-211327
20260505-093233	host-only	local-artifacts/erbium_amp_probe/whisper-real/audio/openai_whisper_jfk_16k.wav	 And								local-artifacts/erbium_amp_probe/whisper-real/phase0/e2e_audit_runs_host_smoke/host-only_20260505-093233
20260505-094122	both	local-artifacts/erbium_amp_probe/whisper-real/audio/openai_whisper_jfk_16k.wav	 And so my fellow	 And so my fellow	True	True		True		0.35646446	local-artifacts/erbium_amp_probe/whisper-real/phase0/e2e_audit_runs_argmax_only/both_20260505-094122
20260505-094529	both	local-artifacts/erbium_amp_probe/whisper-real/audio/openai_whisper_jfk_16k.wav	 And so my fellow Americans ask not what your country can do for you ask what you can do for your country	 And so my fellow Americans ask not what your country can do for you ask what you can do for your country	True	True		True		1.32065762	local-artifacts/erbium_amp_probe/whisper-real/phase0/e2e_audit_runs_argmax_only/both_20260505-094529
